,app_id,current_price
215,7600,1.49
216,7610,1.49
217,7620,0.74
218,7650,0.74
219,7660,0.74
221,7730,0.74
222,7760,0.74
223,7770,0.74
224,7830,3.99
225,7840,1.99
226,7860,3.99
227,7940,19.99
228,8000,6.99
229,8080,4.99
230,8100,3.99
231,8140,6.99
232,8170,6.99
233,8190,9.99
245,8310,6.99
246,8320,6.99
247,8330,1.99
248,8340,22.99
253,8400,2.99
255,8600,2.49
257,8790,4.99
258,8800,5.99
260,8870,19.99
261,8880,0.74
262,8890,0.74
263,8930,19.99
265,8970,0.87
267,9000,2.49
268,9010,3.99
269,9030,2.49
270,9040,2.49
271,9050,3.99
272,9060,2.99
273,9160,9.99
274,9180,2.99
275,9200,7.99
276,9310,9.99
277,9340,9.99
278,9350,8.99
279,9420,8.99
280,9450,9.99
281,9460,9.99
282,9480,9.99
283,9500,5.99
284,9710,6.99
285,9730,6.99
286,9760,1.99
287,9800,3.99
288,9850,13.99
291,9940,1.99
292,9960,4.79
293,9970,6.99
294,9980,4.99
295,10090,19.99
296,10100,14.99
297,10110,9.99
298,10120,6.99
299,10130,9.99
300,10140,6.99
301,10150,3.74
302,10180,19.99
303,10220,8.99
304,10230,5.59
305,10240,4.99
306,10250,4.99
307,10260,4.99
308,10270,9.99
309,10460,9.99
310,10500,19.99
312,10680,1.99
314,11040,6.99
315,11050,6.99
317,11140,6.99
318,11150,6.99
320,11190,6.99
321,11200,6.99
322,11230,1.79
323,11240,3.99
324,11250,5.59
325,11260,5.59
326,11280,4.79
327,11330,3.99
328,11340,3.99
329,11360,3.99
330,11370,3.99
331,11390,6.99
332,11450,3.49
333,11480,3.99
334,11560,3.49
335,11590,3.49
338,12100,5.99
339,12110,5.99
340,12120,9.99
341,12130,5.99
342,12140,5.99
343,12150,5.99
347,12200,9.99
348,12210,19.99
349,12220,14.99
350,12310,6.99
351,12320,6.99
352,12330,6.99
353,12340,6.99
354,12360,16.99
355,1620,14.99
356,1620,14.99
357,12390,10.99
358,12420,10.99
359,12430,3.99
360,12440,2.74
361,12450,2.74
362,12460,3.99
363,12470,2.99
364,12480,6.99
365,12500,6.99
366,12510,6.99
367,12520,6.99
368,12530,4.99
369,12540,5.99
370,12560,4.99
371,12570,5.99
372,12580,5.99
373,12590,4.99
374,12600,4.99
375,12640,6.99
378,12670,4.99
379,12690,6.99
380,12710,6.99
381,12770,4.99
382,12790,6.99
383,12810,6.99
384,12830,6.99
385,12900,6.99
386,13000,3.99
389,13200,8.99
390,13210,13.99
391,13230,8.99
392,13240,5.99
393,13250,5.99
395,13500,8.59
